FILE: acculturation.XPT
------------------------------------------------------------
SHAPE: (11372, 5)
COLUMNS: ['SEQN', 'ACD010A', 'ACD010B', 'ACD010C', 'ACD040']
SEQN present: YES

Missing %:
SEQN        0.00
ACD010A    24.38
ACD010B    99.77
ACD010C    93.94
ACD040     79.56

Full DataFrame Preview:
           SEQN  ACD010A  ACD010B  ACD010C  ACD040
441    130838.0      1.0      NaN      NaN     NaN
442    130839.0      NaN      NaN      NaN     5.0
443    130840.0      NaN      NaN      NaN     5.0
444    130841.0      1.0      NaN      9.0     NaN
445    130842.0      1.0      NaN      NaN     NaN
446    130843.0      1.0      NaN      NaN     NaN
447    130844.0      1.0      NaN      NaN     NaN
448    130845.0      1.0      NaN      NaN     NaN
449    130846.0      NaN      NaN      NaN     5.0
450    130847.0      1.0      NaN      NaN     NaN
451    130848.0      1.0      NaN      NaN     NaN
452    130849.0      NaN      NaN      NaN     3.0
453    130850.0      NaN      NaN      NaN     3.0
454    130851.0      1.0      NaN      NaN     NaN
455    130852.0      1.0      NaN      NaN     NaN
456    130854.0      NaN      NaN      9.0     NaN
457    130855.0      1.0      NaN      NaN     NaN
458    130856.0      1.0      NaN      NaN     NaN
459    130857.0      1.0      NaN      NaN     NaN
460    130858.0      1.0      NaN      NaN     NaN
461    130859.0      1.0      NaN      NaN     NaN
462    130860.0      1.0      NaN      NaN     NaN
463    130861.0      1.0      NaN      NaN     NaN
464    130862.0      NaN      NaN      NaN     4.0
465    130863.0      1.0      NaN      NaN     NaN
466    130864.0      1.0      NaN      NaN     NaN
467    130865.0      1.0      NaN      NaN     NaN
468    130866.0      NaN      NaN      NaN     5.0
469    130867.0      1.0      NaN      NaN     NaN
470    130868.0      1.0      NaN      NaN     NaN
471    130870.0      1.0      NaN      NaN     NaN
472    130871.0      1.0      NaN      NaN     NaN
473    130872.0      1.0      NaN      NaN     NaN
474    130873.0      NaN      NaN      9.0     NaN
475    130874.0      1.0      NaN      NaN     NaN
476    130875.0      1.0      NaN      NaN     NaN
477    130876.0      1.0      NaN      NaN     NaN
478    130877.0      NaN      NaN      NaN     5.0
479    130878.0      1.0      NaN      NaN     NaN
480    130879.0      NaN      NaN      NaN     3.0
481    130880.0      1.0      NaN      NaN     NaN
482    130881.0      1.0      NaN      NaN     NaN
483    130882.0      NaN      NaN      NaN     4.0
484    130883.0      NaN      NaN      NaN     2.0
485    130884.0      1.0      NaN      NaN     NaN
486    130885.0      1.0      NaN      NaN     NaN
487    130887.0      1.0      NaN      NaN     NaN
488    130888.0      1.0      NaN      NaN     NaN
489    130889.0      NaN      NaN      NaN     5.0
490    130890.0      1.0      NaN      NaN     NaN
491    130891.0      1.0      NaN      NaN     NaN
492    130892.0      1.0      NaN      NaN     NaN
493    130893.0      1.0      NaN      NaN     NaN
494    130894.0      1.0      NaN      NaN     NaN
495    130895.0      1.0      NaN      NaN     NaN
496    130897.0      NaN      NaN      NaN     4.0
497    130898.0      1.0      NaN      NaN     NaN
498    130899.0      1.0      NaN      NaN     NaN
499    130900.0      1.0      NaN      NaN     NaN
500    130901.0      1.0      NaN      NaN     NaN
501    130902.0      1.0      NaN      NaN     NaN
502    130903.0      NaN      NaN      NaN     4.0
503    130904.0      1.0      NaN      NaN     NaN
504    130905.0      NaN      NaN      NaN     5.0
505    130906.0      NaN      NaN      NaN     3.0
506    130907.0      1.0      NaN      NaN     NaN
507    130908.0      1.0      NaN      NaN     NaN
508    130909.0      1.0      NaN      NaN     NaN
509    130910.0      1.0      NaN      NaN     NaN
510    130911.0      1.0      NaN      NaN     NaN
511    130912.0      1.0      NaN      NaN     NaN
512    130913.0      1.0      NaN      NaN     NaN
513    130914.0      NaN      NaN      NaN     1.0
514    130915.0      1.0      NaN      NaN     NaN
515    130916.0      NaN      NaN      NaN     5.0
516    130917.0      NaN      NaN      9.0     NaN
517    130918.0      1.0      NaN      9.0     NaN
518    130919.0      1.0      NaN      NaN     NaN
519    130920.0      1.0      NaN      NaN     NaN
520    130921.0      1.0      NaN      NaN     NaN
521    130922.0      1.0      NaN      NaN     NaN
522    130923.0      1.0      NaN      NaN     NaN
523    130924.0      1.0      NaN      NaN     NaN
524    130925.0      1.0      NaN      NaN     NaN
525    130926.0      1.0      NaN      9.0     NaN
526    130927.0      1.0      NaN      NaN     NaN
527    130928.0      NaN      NaN      NaN     7.0
528    130930.0      1.0      NaN      NaN     NaN
529    130931.0      NaN      NaN      NaN     5.0
530    130932.0      1.0      NaN      NaN     NaN
531    130933.0      1.0      NaN      NaN     NaN
532    130934.0      NaN      NaN      9.0     NaN
533    130935.0      1.0      NaN      NaN     NaN
534    130936.0      1.0      NaN      NaN     NaN
535    130938.0      1.0      NaN      NaN     NaN
536    130939.0      1.0      NaN      NaN     NaN
537    130940.0      1.0      NaN      NaN     NaN
538    130941.0      1.0      NaN      NaN     NaN
539    130942.0      1.0      NaN      NaN     NaN
540    130943.0      1.0      NaN      NaN     NaN
541    130944.0      1.0      NaN      NaN     NaN
542    130945.0      NaN      NaN      NaN     3.0
543    130946.0      1.0      NaN      NaN     NaN
544    130947.0      1.0      NaN      NaN     NaN
545    130948.0      NaN      NaN      NaN     2.0
546    130949.0      1.0      NaN      NaN     NaN
547    130950.0      1.0      NaN      NaN     NaN
548    130951.0      1.0      NaN      NaN     NaN
549    130952.0      1.0      NaN      NaN     NaN
550    130953.0      1.0      NaN      NaN     NaN
551    130954.0      1.0      NaN      NaN     NaN
552    130955.0      NaN      NaN      NaN     4.0
553    130956.0      1.0      NaN      NaN     NaN
554    130957.0      1.0      NaN      NaN     NaN
555    130958.0      1.0      NaN      NaN     NaN
556    130959.0      NaN      NaN      NaN     5.0
557    130960.0      1.0      NaN      NaN     NaN
558    130961.0      1.0      NaN      NaN     NaN
