FILE: occupation.XPT
------------------------------------------------------------
SHAPE: (8501, 6)
COLUMNS: ['SEQN', 'OCD150', 'OCQ180', 'OCQ210', 'OCQ215', 'OCQ383']
SEQN present: YES

Missing %:
SEQN       0.00
OCD150     0.19
OCQ180    50.04
OCQ210    83.05
OCQ215    46.96
OCQ383    57.49

Full DataFrame Preview:
          SEQN  OCD150   OCQ180  OCQ210  OCQ215  OCQ383
437   131001.0     1.0     60.0     NaN     5.0     NaN
438   131002.0     1.0     35.0     NaN     5.0     NaN
439   131003.0     4.0      NaN     NaN     NaN     3.0
440   131004.0     1.0     40.0     NaN     5.0     NaN
441   131005.0     4.0      NaN     NaN     NaN     3.0
442   131006.0     1.0     40.0     NaN     5.0     NaN
443   131007.0     4.0      NaN     NaN     NaN     3.0
444   131009.0     4.0      NaN     NaN     NaN     2.0
445   131010.0     1.0      8.0     1.0     6.0     NaN
446   131011.0     4.0      NaN     NaN     NaN     4.0
447   131012.0     1.0     50.0     NaN     5.0     NaN
448   131013.0     1.0     43.0     NaN     5.0     NaN
449   131014.0     4.0      NaN     NaN     NaN     3.0
450   131016.0     4.0      NaN     NaN     NaN     1.0
451   131017.0     1.0     45.0     NaN     4.0     NaN
452   131019.0     4.0      NaN     NaN     NaN     4.0
453   131020.0     4.0      NaN     NaN     NaN    99.0
454   131021.0     4.0      NaN     NaN     NaN     3.0
455   131023.0     4.0      NaN     NaN     NaN     3.0
456   131024.0     1.0     53.0     NaN     5.0     NaN
457   131025.0     1.0     22.0     1.0     5.0     NaN
458   131026.0     4.0      NaN     NaN     NaN     3.0
459   131027.0     4.0      NaN     NaN     NaN     1.0
460   131028.0     4.0      NaN     NaN     NaN     3.0
461   131030.0     1.0     50.0     NaN     7.0     NaN
462   131031.0     1.0     41.0     NaN     4.0     NaN
463   131032.0     3.0      NaN     NaN     NaN     NaN
464   131033.0     4.0      NaN     NaN     NaN     3.0
465   131034.0     3.0      NaN     NaN     NaN     NaN
466   131035.0     4.0      NaN     NaN     NaN     2.0
467   131036.0     1.0     40.0     NaN     5.0     NaN
468   131037.0     1.0     40.0     NaN     5.0     NaN
469   131038.0     1.0     40.0     NaN     5.0     NaN
470   131039.0     1.0     58.0     NaN     5.0     NaN
