participant_id,Days_Physically_Active_60min,Hours_TV_Videos_Per_Day,participant_id_outlier,Days_Physically_Active_60min_outlier,Hours_TV_Videos_Per_Day_outlier
132665.0,5.397605346934028e-79,5.0,False,False,False
132670.0,5.397605346934028e-79,4.0,False,False,False
132673.0,,1.0,False,False,False
132674.0,3.0,3.0,False,False,False
132680.0,,1.0,False,False,False
132682.0,,2.0,False,False,False
132685.0,,3.0,False,False,False
132686.0,,2.0,False,False,False
132688.0,6.0,2.0,False,False,False
132697.0,3.0,4.0,False,False,False
132698.0,,4.0,False,False,False
132700.0,,2.0,False,False,False
132701.0,,3.0,False,False,False
132702.0,,5.397605346934028e-79,False,False,False
132705.0,1.0,6.0,False,False,False
132708.0,5.0,3.0,False,False,False
132713.0,5.0,3.0,False,False,False
132714.0,,1.0,False,False,False
132716.0,,5.0,False,False,False
132717.0,5.397605346934028e-79,2.0,False,False,False
132719.0,3.0,4.0,False,False,False
132724.0,5.397605346934028e-79,6.0,False,False,False
132731.0,,2.0,False,False,False
132732.0,4.0,8.0,False,False,False
132736.0,5.0,6.0,False,False,False
132737.0,,1.0,False,False,False
132743.0,,6.0,False,False,False
132752.0,4.0,2.0,False,False,False
132753.0,,2.0,False,False,False
132759.0,6.0,2.0,False,False,False
132764.0,5.0,1.0,False,False,False
132766.0,4.0,1.0,False,False,False
132773.0,,1.0,False,False,False
132774.0,5.0,6.0,False,False,False
132776.0,3.0,3.0,False,False,False
132790.0,6.0,2.0,False,False,False
132792.0,,1.0,False,False,False
132794.0,,3.0,False,False,False
132796.0,4.0,3.0,False,False,False
132798.0,,2.0,False,False,False
132799.0,5.397605346934028e-79,1.0,False,False,False
132806.0,5.0,5.0,False,False,False
132813.0,5.397605346934028e-79,3.0,False,False,False
132821.0,2.0,3.0,False,False,False
132823.0,2.0,3.0,False,False,False
132824.0,5.0,3.0,False,False,False
132830.0,,2.0,False,False,False
132831.0,5.397605346934028e-79,4.0,False,False,False
132833.0,5.0,4.0,False,False,False
132834.0,,1.0,False,False,False
132843.0,5.0,1.0,False,False,False
132844.0,,2.0,False,False,False
132845.0,,1.0,False,False,False
132852.0,2.0,1.0,False,False,False
132853.0,,2.0,False,False,False
132854.0,,1.0,False,False,False
132857.0,,,False,False,False
132860.0,,1.0,False,False,False
132861.0,2.0,4.0,False,False,False
132863.0,,1.0,False,False,False
132867.0,6.0,2.0,False,False,False
132871.0,4.0,4.0,False,False,False
132874.0,,2.0,False,False,False
132879.0,4.0,3.0,False,False,False
